Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,104196861,1132935,101322779,1741147,1159832679,334805269
2,India,44682784,530740,44150289,1755,915265788,1406631776
3,France,39524311,164233,39264546,95532,271490188,65584518
4,Germany,37779833,165711,37398100,216022,122332384,83883596
5,Brazil,36824580,697074,35919372,208134,63776166,215353593
6,Japan,32588442,68399,21567425,10952618,92144639,125584838
7,S. Korea,30197066,33486,29740877,422703,15804065,51329899
8,Italy,25453789,186833,25014986,251970,265478247,60262770
9,UK,24274361,204171,24020088,50102,522526476,68497907
10,Russia,21958696,395108,21356008,207580,273400000,145805947
11,Turkey,17042722,101492,N/A,N/A,162743369,85561976
12,Spain,13731478,118434,13557699,55345,471036328,46719142
13,Vietnam,11526508,43186,10612479,870843,85826548,98953541
14,Australia,11295446,18615,11235771,41060,78835048,26068792
15,Argentina,10037135,130421,9877032,29682,35716069,46010234
16,Taiwan,9569611,16356,9129766,423489,30207485,23888595
17,Netherlands,8582500,22989,8547771,11740,25984435,17211447
18,Iran,7564350,144749,7337549,82052,54420785,86022837
19,Mexico,7368252,332198,6606633,429421,19356195,131562772
20,Indonesia,6730289,160817,6565208,4264,114158919,279134505
21,Poland,6380225,118736,5335940,925549,38118630,37739785
22,Colombia,6356309,142486,6179501,34322,36951507,51512762
23,Austria,5780229,21689,5730189,28351,211273524,9066710
24,Greece,5708301,35630,5662212,10459,102228365,10316637
25,Portugal,5563907,26022,5532366,5519,45915651,10140570
26,Ukraine,5370131,111020,5253302,5809,32603805,43192122
27,Chile,5118981,63812,5051555,3614,48127301,19250195
28,Malaysia,5036593,36942,4989861,9790,67665089,33181072
29,Israel,4786189,12193,4768242,5754,41373364,9326000
30,DPRK,4772813,74,4772739,0,N/A,25990679
31,Thailand,4726984,33865,4692636,483,17270775,70078203
32,Belgium,4691499,33557,4644681,13261,36548544,11668278
33,Czechia,4590019,42312,4538304,9403,56893223,10736784
34,Canada,4550256,50380,4444013,55863,66343123,38388419
35,Peru,4481621,218931,4258688,4002,37754603,33684208
36,Switzerland,4385701,14452,4366770,4479,23318743,8773637
37,Philippines,4073454,65802,3998048,9604,34343332,112508994
38,South Africa,4055966,102595,3912506,40865,26473049,60756135
39,Romania,3325006,67576,3252104,5326,26389988,19031335
40,Denmark,3173247,8145,3163849,1253,129144754,5834950
41,Hong Kong,2877280,13358,2509483,354439,76123870,7604299
42,Sweden,2693458,23246,2658039,12173,19410527,10218971
43,Serbia,2471198,17701,2440527,12970,12154486,8653016
44,Iraq,2465545,25375,2439497,673,19544451,42164965
45,Singapore,2217110,1722,2144490,70898,24756666,5943546
46,Hungary,2192447,48677,2139857,3913,11394556,9606259
47,New Zealand,2182355,3781,2169320,9254,7710637,4898203
48,Bangladesh,2037556,29442,1992694,15420,15247014,167885689
49,Slovakia,1860893,20946,1839309,638,7390781,5460193
50,Georgia,1814180,16926,1776548,20706,16920079,3968738
51,Jordan,1746997,14122,1731007,1868,17201885,10300869
52,Ireland,1700253,8462,1685183,6608,12984257,5020199
53,Pakistan,1576313,30640,1538689,6984,30570862,229488994
54,Norway,1477856,5112,1471835,909,11002430,5511370
55,Finland,1458619,8639,1447569,2411,12017711,5554960
56,Kazakhstan,1405917,13695,1383020,9202,11575012,19205043
57,Slovenia,1321852,7056,1311159,3637,2824843,2078034
58,Lithuania,1296865,9545,1282528,4792,10350770,2661708
59,Bulgaria,1295426,38179,1254491,2756,10987749,6844597
60,Morocco,1272240,16296,1255881,63,12930733,37772756
61,Croatia,1267580,17877,1249168,535,5476183,4059286
62,Lebanon,1228639,10790,1087587,130262,4795578,6684849
63,Guatemala,1227853,20106,1204545,3202,6757892,18584039
64,Bolivia,1187986,22346,1146143,19497,2705422,11992656
65,Costa Rica,1186176,9158,860711,316307,4659757,5182354
66,Tunisia,1150356,29308,N/A,N/A,4997373,12046656
67,Cuba,1112438,8530,1103799,109,14298479,11305652
68,Ecuador,1051239,35942,1011682,3615,3082403,18113361
69,UAE,1049409,2348,1032735,14326,198638806,10081785
70,Uruguay,1032710,7609,1023939,1162,6114822,3496016
